        NH	1e-09	0	   2   1  -2  -2   0   0   0   0   0   0
        NM	1e-09	0	   1   0   0   0   0   0   0   0   0   0
       REM	0.01	0	   2   0  -2   0   0   0   0   0   0   0
      PETA	1e+15	0	   0   0   0   0   0   0   0   0   0   0
        OZ	0.2781135	0	   1   1  -2   0   0   0   0   0   0   0
     OCTET	8	0	   0   0   0   0   0   0   0   0   0   0
      NULL	1	0	   0   0   0   0   0   0   0   0   0   0
        NS	1e-09	0	   0   0   1   0   0   0   0   0   0   0
        NV	1e-09	0	   2   1  -3  -1   0   0   0   0   0   0
       OHM	1	0	   2   1  -3  -2   0   0   0   0   0   0
   OERSTED	1	0	  -2   0   0   1   0   0   0   0   0   0
     OUNCE	0.02835	0	   0   1   0   0   0   0   0   0   0   0
     P/GAL	99.77635712	0	  -3   1   0   0   0   0   0   0   0   0
  P/CUFOOT	16.01847626	0	  -3   1   0   0   0   0   0   0   0   0
    OZINS2	0.007064	0	   2   1   0   0   0   0   0   0   0   0
  P/CUINCH	27679.92697	0	  -3   1   0   0   0   0   0   0   0   0
    PASCAL	1	0	  -1   1  -2   0   0   0   0   0   0   0
        PA	1	0	  -1   1  -2   0   0   0   0   0   0   0
    PERCHE	9	0	   2   0   0   0   0   0   0   0   0   0
      POSE	4500	0	   2   0   0   0   0   0   0   0   0   0
      PICA	0.0042175276	0	   1   0   0   0   0   0   0   0   0   0
        PH	1e-12	0	   2   1  -2  -2   0   0   0   0   0   0
        PF	1e-12	0	  -2  -1   4   2   0   0   0   0   0   0
        PI	3.14159265359	0	   0   0   0   0   0   0   0   0   0   0
      PINT	0.00056824	0	   3   0   0   0   0   0   0   0   0   0
      PICO	1e-12	0	   0   0   0   0   0   0   0   0   0   0
     POISE	0.1	0	  -1   1  -1   0   0   0   0   0   0   0
       R/H	0.4124	0	   2   0  -3   0   0   0   0   0   0   0
        PT	0.0003514598	0	   1   0   0   0   0   0   0   0   0   0
     POUND	0.453592	0	   0   1   0   0   0   0   0   0   0   0
         R	1484.64	0	   2   0  -2   0   0   0   0   0   0   0
       RAD	0.01	0	   2   0  -2   0   0   0   0   0   0   0
       R/M	24.744	0	   2   0  -3   0   0   0   0   0   0   0
        SV	0.001	0	   0   1   0   0   0   0   0   0   0   0
   SIEMENS	1	0	  -2  -1   3   2   0   0   0   0   0   0
         S	1	0	   0   0   1   0   0   0   0   0   0   0
      SEMI	0.5	0	   0   0   0   0   0   0   0   0   0   0
    SESQUI	1.5	0	   0   0   0   0   0   0   0   0   0   0
    SQYARD	0.836126457	0	   2   0   0   0   0   0   0   0   0   0
    SQFOOT	0.09290293967	0	   2   0   0   0   0   0   0   0   0   0
       SON	300	0	   1   0  -1   0   0   0   0   0   0   0
    SQINCH	0.0006451593032	0	   2   0   0   0   0   0   0   0   0   0
     STONE	0.06350288	0	   0   1   0   0   0   0   0   0   0   0
     STERE	1	0	   3   0   0   0   0   0   0   0   0   0
        SU	1	0	   0   0   0   0   0   0   0   0   0   0
         V	1	0	   2   1  -3  -1   0   0   0   0   0   0
        UA	149597900000	0	   1   0   0   0   0   0   0   0   0   0
      TERA	1e+12	0	   0   0   0   0   0   0   0   0   0   0
       TBQ	1e+12	0	   0   0   0   0   0   0   1   0   0   0
     TESLA	1	0	   0   1  -2  -1   0   0   0   0   0   0
 US.BUSHEL	0.03523808	0	   3   0   0   0   0   0   0   0   0   0
  USGALLON	0.003785412	0	   3   0   0   0   0   0   0   0   0   0
      YARD	0.9143995062	0	   1   0   0   0   0   0   0   0   0   0
         W	1	0	   2   1  -3   0   0   0   0   0   0   0
     V.EAU	2300000	0	   2   0  -2   0   0   0   0   0   0   0
        WB	1	0	   2   1  -2  -1   0   0   0   0   0   0
        oC	1	273.16	   0   0   0   0   1   0   0   0   0   0
        oF	0.5555555556	255.38222222	   0   0   0   0   1   0   0   0   0   0
        oK	1	0	   0   0   0   0   1   0   0   0   0   0
       MUG	1e-09	0	   0   1   0   0   0   0   0   0   0   0
     GAMMA	1e-09	0	   0   1   0   0   0   0   0   0   0   0
        GM	1000000000	0	   1   0   0   0   0   0   0   0   0   0
      GILL	1.3905675	0	   1   1  -2   0   0   0   0   0   0   0
      HAND	0.1015999451	0	   1   0   0   0   0   0   0   0   0   0
    LEAGUE	2999.230381	0	   1   0   0   0   0   0   0   0   0   0
   MAXWELL	1e-08	0	   2   1  -2  -1   0   0   0   0   0   0
      TOUR	6.283185307	0	   0   0   0   0   0   0   0   0   1   0
        FS	0.6896551724	0	   0   0   0   0   0   0   0   1   0   0
        SR	1	0	   0   0   0   0   0   0   0   0   0   1
      KM/S	1000	0	   1   0  -1   0   0   0   0   0   0   0
      MSOL	1.989e+30	0	   0   1   0   0   0   0   0   0   0   0
      RSOL	695990000	0	   1   0   0   0   0   0   0   0   0   0
      LSOL	3.826e+26	0	   2   1  -3   0   0   0   0   0   0   0
 MELECTRON	9.10956e-31	0	   0   1   0   0   0   0   0   0   0   0
   MPROTON	1.672661e-27	0	   0   1   0   0   0   0   0   0   0   0
        PC	3.085678e+16	0	   1   0   0   0   0   0   0   0   0   0
 QELECTRON	1.602192e-19	0	   0   0   1   1   0   0   0   0   0   0
       UA2	2.23795316844e+22	0	   2   0   0   0   0   0   0   0   0   0
       UA3	3.34793094297e+33	0	   3   0   0   0   0   0   0   0   0   0
       AL2	8.9510521e+31	0	   2   0   0   0   0   0   0   0   0   0
       AL3	8.46859039181e+47	0	   3   0   0   0   0   0   0   0   0   0
       PC2	9.52140871968e+32	0	   2   0   0   0   0   0   0   0   0   0
       PC3	2.93800014153e+49	0	   3   0   0   0   0   0   0   0   0   0
     NIBLE	4	0	   0   0   0   0   0   0   0   0   0   0
      TORR	135.951315789	0	  -1   1  -2   0   0   0   0   0   0   0
